Company ID (Seller),Company Name,Address,City,Province,Region,Latitude,Longitude
3612,ALGARROBITOS S.A.,CRUCE RUTA PROVINCIAL 6 Y 10,HERNANDO,CORDOBA,CENTRO,-32.44274,-63.71377
2738,ALGAR S.R.L,AV. BALBIN 596,SAN MIGUEL,BUENOS AIRES,PAMPEANA,-34.53745,-58.70726
6196,ALGAR S.R.L,AV. RICCHIERI 701,BELLA VISTA,BUENOS AIRES,PAMPEANA,-34.56112,-58.6878
6593,ALGAVI SA,EVA PERON 2101,CAPITAL FEDERAL,CAPITAL FEDERAL,PAMPEANA,-34.63932,-58.454156
1530,ALICIA BEATRIZ BALLESI DE ZENGARINI,RUTA 35 9.5,BAHIA BLANCA,BUENOS AIRES,PAMPEANA,-38.68707,-62.33873
5629,ALICIA Y MARIO CERVETTO SOC DE HECHO,SARMIENTO Y DORREGO S/N,LAS VIOLETAS,BUENOS AIRES,PAMPEANA,-33.73092,-60.17386
1143,ALISO SRL,HIPOLITO YRIGOYEN 305,MORON,BUENOS AIRES,PAMPEANA,-34.66016,-58.614527
811,ALKUSAN S.R.L.,ALBERTI 1868,CAPITAL FEDERAL,CAPITAL FEDERAL,PAMPEANA,-34.631825,-58.39878
8890,ALLEGRETTI SA,21 3134,BERAZATEGUI,BUENOS AIRES,PAMPEANA,-34.77764,-58.22217
623,ALLGAS S.A.,De los Incas 3520,ISIDRO CASANOVA,BUENOS AIRES,PAMPEANA,-34.69863,-58.57706
1446,ALLI VAMOS S.A.,avenida mitre 4900,SAN MIGUEL,BUENOS AIRES,PAMPEANA,-34.57116,-58.74387
7400,ALLI VAMOS S.A.,AV. HIPOLITO YRIGOYEN 696,JOSE C. PAZ,BUENOS AIRES,PAMPEANA,-34.51359,-58.74021
1248,ALLI VAMOS S.A.,DIRECTORIO 1394,TORTUGUITAS,BUENOS AIRES,PAMPEANA,-34.463893,-58.744446
6977,ALLI VAMOS S.A.,H. YRIGOYEN 3723,JOSE C. PAZ,BUENOS AIRES,PAMPEANA,-34.52825,-58.77212
176,ALLUB HERMANOS S.R.L.,ALEM 6/42,PALMIRA,MENDOZA,CUYO,-33.05051,-68.56452
6177,ALLUB HERMANOS SRL,Pirovano 52,SAN MARTIN,MENDOZA,CUYO,-33.08622,-68.46531
179,ALLUB HERMANOS SRL,RUTA 7 KM 941,LA DORMIDA,MENDOZA,CUYO,-33.33967,-67.90993
183,ALLUB HERMANOS SRL,URQUIZA Y MORENO,RUSELL,MENDOZA,CUYO,-33.00112,-68.75743
1520,ALMA S.R.L.,ANTARTIDA ARGENTINA Y RUTA 40 .,28 DE NOVIEMBRE,SANTA CRUZ,PATAGONIA,-51.57546,-72.21239
1508,ALMA SRL,AV. DE LOS MINEROS Y ROCA,RIO TURBIO,SANTA CRUZ,PATAGONIA,-51.53922,-72.33893
3512,ALMIRO SRL,JUAN B. ALBERDI 1502,CAPITAL FEDERAL,CAPITAL FEDERAL,PAMPEANA,-34.6262,-58.44893
1469,ALONSO CONSTANTINO RAUL,SOLIS 9531,MAR DEL PLATA,BUENOS AIRES,PAMPEANA,-37.99948,-57.59845
7831,ALOS SA,SAN MARTIN 1689,BARADERO,BUENOS AIRES,PAMPEANA,-33.8127,-59.50788
5931,ALPAMAR SOC.DE HECHO,AVELLANEDA 1787,TANDIL,BUENOS AIRES,PAMPEANA,-37.327133,-59.114723
5930,ALPAMAR SOC.DE HECHO,GRAL.RODRIGUEZ 1670,TANDIL,BUENOS AIRES,PAMPEANA,-37.31346,-59.144624
3238,ALSIGAS S.A.,REMEDIOS DE ESCALADA DE SAN MARTIN 3589,VALENTIN ALSINA,BUENOS AIRES,PAMPEANA,-34.669528,-58.41579
7142,ALT ALBERTO RAFAEL Y ALT HÉCTOR JOSÉ S.H.,LUCIO V ROSSI 41,ALTA GRACIA,CORDOBA,CENTRO,-31.64516,-64.43349
472,ALT ALBERTO R. Y ALT HÉCTOR J. S.H.,AV. HIPÓLITO YRIGOYEN Y RUTA N° 5,ALTA GRACIA,CORDOBA,CENTRO,-31.651071,-64.407949
